interaction_id,user_id,user_type,place_id,place_name,source,split,pref_quiet,pref_light,pref_low_crowd,pref_privacy,pref_outlet,pref_distance,pref_thermal_air,pref_control,pref_comfort,pref_deepwork,general_place_type,general_task_type,general_social_mode,general_stay_duration,general_time_slot,general_distraction_noise,general_distraction_crowd,general_distraction_visual,general_distraction_temperature,general_distraction_outlet,general_distraction_distance,general_priority_quiet,general_priority_outlet,general_priority_distance,general_priority_comfort,general_priority_privacy,place_type,task_type,group_size,stay_duration,time_slot,day_type,distance_minutes,weather,indoor_outdoor,visit_frequency,place_quiet,place_light,place_low_crowd,place_low_visual_distraction,place_control,place_comfort,place_outlet,place_task_fit,place_temperature_air,place_seat_availability,quiet_match,light_match,crowd_match,privacy_match,outlet_match,thermal_air_match,control_match,comfort_match,deepwork_task_match,distance_penalty,task_place_fit_match,time_match,satisfaction_score,noise_mean_db,noise_std_db,noise_max_db,noise_p90_db,noise_spike_count,quiet_ratio,light_mean_lux,light_std_lux,light_min_lux,light_max_lux,light_range_lux,too_dark_ratio,too_bright_ratio,vibration_mean,vibration_std,vibration_max,vibration_p95,vibration_spike_count,stillness_ratio,measurement_duration_sec,sample_count,valid_sample_ratio,phone_movement_ratio,noise_level_norm,light_deviation_norm,vibration_level_norm,pref_quiet_x_noise,pref_quiet_x_noise_p90,pref_light_x_light_deviation,pref_comfort_x_vibration,pref_comfort_x_vibration_spike,sensor_quality_score,sensor_environment_score,sensor_penalty_total,sensor_adjustment,satisfaction_score_sensor_v2
I0011,U002,comfort_oriented,P086,coworking_space_02,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,coworking_space,light_reading,solo,1_2h,afternoon,weekday,14.8,clear,indoor,first_time,3,4,4,4,5,3,4,3,4,4,9,12,16,16,16,16,20,12,1.8,5.5,9,1.0,65.3,37.64,4.03,45.36,40.41,0,0.867,566.6,129.1,445.7,818.4,372.7,0.056,0.156,0.0568,0.034,0.1948,0.1004,6,0.398,1611,1543,0.958,0.037,0.286,0.593,1.304,0.859,1.802,1.78,5.215,12.0,97.65,84.04,3.12,0.45,65.8
I0012,U002,comfort_oriented,P087,coworking_space_03,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,coworking_space,deep_study,solo,over_4h,evening,weekday,22.4,rainy,indoor,rarely,4,4,3,2,5,4,4,3,4,4,12,12,12,8,16,16,20,16,4.0,8.4,12,0.5,60.6,34.5,3.36,43.49,38.07,1,0.852,363.5,147.5,151.4,713.5,562.0,0.238,0.0,0.0344,0.0219,0.1649,0.0786,2,0.741,701,626,0.893,0.178,0.008,1.475,0.9,0.025,1.023,4.425,3.599,4.0,86.35,81.68,3.48,-0.58,60.0
I0013,U002,comfort_oriented,P040,cafe_04,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,deep_study,solo,2_4h,morning,weekend,5.9,rainy,indoor,sometimes,3,4,2,3,3,4,3,3,4,3,9,12,8,12,12,16,12,16,4.0,2.2,12,0.5,57.8,46.77,7.79,67.61,57.44,3,0.449,416.3,223.3,103.0,909.8,806.8,0.176,0.059,0.1036,0.0806,0.3579,0.2334,8,0.01,854,799,0.936,0.081,2.314,1.333,3.767,6.942,7.479,4.0,15.069,16.0,92.75,52.75,8.6,-7.15,50.7
I0014,U002,comfort_oriented,P039,cafe_03,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,team_project,5_plus,1_2h,evening,weekday,12.1,clear,indoor,often,3,4,2,3,2,4,3,3,4,4,9,12,8,12,12,16,8,16,1.0,4.5,9,0.5,56.5,60.89,7.3,77.12,68.44,6,0.02,691.2,306.2,172.7,1035.6,862.8,0.014,0.326,0.1178,0.0982,0.4045,0.2815,11,0.01,684,556,0.813,0.343,3.623,1.484,4.658,10.87,11.146,4.451,18.633,20.0,75.36,27.01,13.78,-14.66,41.8
I0015,U002,comfort_oriented,P059,home_05,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,home,report_writing,solo,over_4h,late_night,weekday,10.2,clear,indoor,rarely,4,5,5,4,5,4,4,4,5,5,12,15,20,16,16,20,20,16,3.4,3.8,16,0.0,60.5,30.0,3.31,35.02,32.0,3,0.908,518.2,193.4,253.1,713.7,460.6,0.029,0.117,0.0373,0.0122,0.0894,0.0525,1,0.747,870,715,0.822,0.339,0.0,0.686,0.416,0.0,0.0,2.059,1.664,2.0,76.77,83.91,3.48,2.04,62.5
I0016,U002,comfort_oriented,P040,cafe_04,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,online_class,solo,under_1h,evening,weekday,8.2,rainy,indoor,often,3,4,2,3,3,4,3,3,4,3,9,12,8,12,12,16,12,16,2.6,3.1,9,0.5,58.0,53.56,7.74,73.41,63.34,4,0.205,524.4,334.7,148.8,1186.8,1038.0,0.07,0.176,0.1016,0.0503,0.2896,0.193,7,0.01,1032,936,0.907,0.143,3.016,1.076,3.018,9.048,9.445,3.229,12.072,14.0,89.24,51.1,8.76,-7.59,50.4
I0017,U002,comfort_oriented,P061,home_07,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,home,coding,2,2_4h,evening,weekday,16.7,cold,indoor,rarely,4,4,4,4,4,4,4,5,4,5,12,12,16,16,16,16,16,16,3.6,6.3,20,0.5,54.1,30.0,3.08,41.3,32.0,0,0.957,579.9,122.0,501.5,775.8,274.3,0.005,0.114,0.0369,0.0251,0.1944,0.079,2,0.715,1421,1334,0.938,0.076,0.0,0.497,0.907,0.0,0.0,1.492,3.627,4.0,94.54,91.32,1.67,1.79,55.9
I0018,U002,comfort_oriented,P102,dorm_lounge_06,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,dorm_lounge,report_writing,solo,2_4h,morning,weekday,18.5,cold,indoor,often,3,3,3,3,3,3,4,3,4,4,9,9,12,12,16,16,12,12,3.4,6.9,12,0.5,58.9,40.54,5.76,56.06,46.71,1,0.852,812.6,68.1,763.8,956.3,192.5,0.024,0.384,0.1034,0.0442,0.2349,0.1801,7,0.01,1303,1232,0.945,0.055,1.037,1.416,2.779,3.11,3.902,4.248,11.116,14.0,95.3,67.82,6.02,-4.65,54.3
I0019,U002,comfort_oriented,P003,library_03,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,library,coding,solo,2_4h,morning,weekday,1.7,cloudy,indoor,sometimes,5,3,4,5,3,3,4,4,4,4,15,9,16,20,16,16,12,12,3.6,0.6,16,0.5,70.4,30.0,1.94,42.33,32.51,0,0.98,761.5,68.0,719.3,911.8,192.5,0.046,0.321,0.0361,0.0328,0.1859,0.0831,3,0.66,1345,1263,0.939,0.079,0.0,1.243,0.983,0.0,0.0,3.73,3.933,6.0,94.36,85.17,2.71,-1.93,68.5
I0020,U002,comfort_oriented,P044,cafe_08,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,coding,solo,under_1h,afternoon,weekday,12.6,clear,indoor,often,3,4,3,4,2,4,3,3,4,2,9,12,12,16,12,16,8,16,3.6,4.7,12,1.0,60.7,48.58,4.58,67.05,53.18,2,0.435,538.3,330.6,72.8,870.0,797.3,0.06,0.152,0.1022,0.1124,0.329,0.2858,10,0.01,1377,1212,0.88,0.211,1.807,0.973,4.737,5.421,6.059,2.918,18.949,20.0,86.14,51.2,9.5,-6.49,54.2
I0021,U003,quiet_deepwork,P070,classroom_08,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,classroom,coding,solo,2_4h,afternoon,weekday,14.8,cloudy,indoor,often,3,4,3,2,3,2,3,3,2,3,12,16,12,10,12,8,12,8,4.5,3.7,15,0.5,59.4,41.19,4.75,55.95,47.58,1,0.739,547.8,68.8,451.0,676.0,225.0,0.031,0.123,0.0905,0.0431,0.2777,0.1572,7,0.01,614,590,0.96,0.01,1.14,0.335,2.356,4.56,5.59,1.342,9.425,14.0,95.88,75.67,5.12,-2.76,56.6
I0022,U003,quiet_deepwork,P032,study_room_14,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,study_room,report_writing,solo,2_4h,evening,weekday,17.1,clear,indoor,first_time,4,4,4,4,4,3,4,4,4,4,16,16,16,20,16,16,16,12,4.3,4.3,20,1.0,70.8,30.0,2.94,42.94,32.45,1,0.98,628.9,86.9,490.9,798.5,307.6,0.058,0.163,0.0516,0.0388,0.1365,0.1152,3,0.476,685,651,0.951,0.043,0.0,0.727,1.579,0.0,0.0,2.908,6.314,6.0,94.51,85.57,3.06,0.69,71.5
I0023,U003,quiet_deepwork,P001,library_01,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,library,deep_study,solo,2_4h,evening,weekend,8.6,cold,indoor,often,5,4,4,5,2,3,4,5,4,4,20,16,16,25,16,16,8,12,5.0,2.1,25,1.0,84.9,30.0,2.43,42.68,32.0,0,0.98,337.1,67.3,231.1,398.2,167.1,0.302,0.02,0.0542,0.0272,0.1765,0.0863,3,0.493,1728,1589,0.92,0.123,0.0,1.585,1.042,0.0,0.0,6.341,4.168,6.0,92.56,82.72,3.65,-0.76,84.1
I0024,U003,quiet_deepwork,P089,coworking_space_05,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,coworking_space,deep_study,solo,2_4h,evening,weekday,15.6,cold,indoor,sometimes,3,5,4,3,4,4,5,4,4,3,12,20,16,15,20,16,16,16,5.0,3.9,20,1.0,67.3,38.56,5.54,58.03,46.35,2,0.874,484.5,10.0,478.4,507.5,29.1,0.078,0.069,0.0598,0.0421,0.2253,0.1279,4,0.438,854,737,0.863,0.248,0.994,0.469,1.813,3.977,5.046,1.877,7.251,8.0,82.41,75.9,5.34,-3.91,63.4
I0025,U003,quiet_deepwork,P027,study_room_09,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,study_room,coding,solo,2_4h,morning,weekend,8.2,clear,indoor,first_time,5,3,3,4,4,3,3,4,3,3,20,12,12,20,12,12,16,12,4.5,2.1,20,0.0,68.6,30.0,3.09,43.88,35.03,0,0.894,904.6,235.9,590.7,1217.9,627.2,0.021,0.477,0.0707,0.0386,0.1974,0.1434,5,0.227,1471,1389,0.944,0.068,0.0,2.072,2.101,0.0,0.015,8.289,8.402,10.0,95.38,73.54,5.6,-3.37,65.2
I0026,U003,quiet_deepwork,P010,library_10,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,library,report_writing,solo,2_4h,evening,weekday,3.0,rainy,indoor,often,5,5,4,4,3,4,4,4,4,5,20,20,16,20,16,16,12,16,4.3,0.8,20,1.0,83.5,30.0,3.56,39.67,32.93,0,0.942,607.6,34.3,557.6,665.5,107.8,0.022,0.159,0.0432,0.0375,0.1905,0.087,1,0.611,643,624,0.971,0.008,0.0,0.496,1.056,0.0,0.0,1.983,4.224,2.0,97.02,91.78,1.74,2.03,85.5
I0027,U003,quiet_deepwork,P054,cafe_18,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,cafe,report_writing,solo,2_4h,early_morning,weekday,9.9,clear,indoor,first_time,3,5,2,3,2,3,3,4,4,3,12,20,8,15,12,16,8,12,4.3,2.5,20,0.0,57.3,43.31,5.63,63.35,48.37,2,0.672,651.9,295.4,312.4,1345.0,1032.6,0.051,0.217,0.1225,0.0989,0.3609,0.2756,11,0.01,899,799,0.889,0.189,1.235,1.27,4.549,4.939,5.943,5.082,18.195,20.0,86.27,54.27,9.81,-7.89,49.4
I0028,U003,quiet_deepwork,P006,library_06,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,library,deep_study,solo,2_4h,morning,weekend,9.1,rainy,indoor,rarely,4,4,4,5,2,3,4,5,5,4,16,16,16,25,16,20,8,12,5.0,2.3,25,0.0,73.9,30.0,4.31,44.41,34.22,0,0.972,588.5,63.0,517.0,723.2,206.2,0.057,0.196,0.0576,0.0339,0.2272,0.1078,7,0.364,654,601,0.918,0.111,0.0,0.585,1.442,0.0,0.0,2.34,5.766,14.0,89.96,82.73,3.73,-0.2,73.7
I0029,U003,quiet_deepwork,P089,coworking_space_05,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,coworking_space,light_reading,3_4,1_2h,afternoon,weekday,17.1,rainy,indoor,often,3,5,4,3,4,4,5,3,4,3,12,20,16,15,20,16,16,16,2.3,4.3,9,0.5,76.9,46.77,4.77,62.0,55.01,2,0.627,556.5,57.8,464.3,675.8,211.5,0.029,0.168,0.0615,0.0391,0.1955,0.124,4,0.317,1144,1105,0.966,0.013,2.025,0.388,1.74,8.099,8.893,1.552,6.96,8.0,97.68,73.44,5.51,-2.99,73.9
I0030,U003,quiet_deepwork,P036,study_room_18,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,study_room,team_project,2,1_2h,afternoon,weekday,16.0,rainy,indoor,rarely,5,4,4,4,4,4,5,5,4,4,20,16,16,20,20,16,16,16,1.3,4.0,15,0.5,80.1,30.0,3.67,46.91,35.72,0,0.979,537.1,83.7,438.4,714.6,276.2,0.034,0.102,0.0243,0.003,0.1018,0.0204,1,0.836,1230,1002,0.815,0.346,0.0,0.385,0.0,0.0,0.319,1.54,0.0,2.0,76.83,89.59,2.64,2.81,82.9
I0031,U004,social_collaborative,P067,classroom_05,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,classroom,meeting,5_plus,2_4h,morning,weekend,1.5,clear,indoor,rarely,3,4,3,3,3,2,3,4,3,3,9,12,3,9,9,9,6,8,0.6,0.6,12,1.0,49.4,42.74,6.22,55.17,49.38,3,0.716,516.8,151.2,381.6,796.0,414.4,0.093,0.155,0.0755,0.0485,0.2054,0.1472,6,0.225,915,825,0.902,0.157,1.355,0.749,2.17,4.065,4.794,2.248,8.679,12.0,88.13,69.93,5.69,-2.76,46.6
I0032,U004,social_collaborative,P091,coworking_space_07,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,coworking_space,team_project,2,1_2h,afternoon,weekend,15.6,rainy,indoor,rarely,4,4,4,3,4,5,4,3,3,4,12,12,4,9,12,9,8,20,0.8,5.9,9,0.5,52.4,33.89,3.66,45.69,36.73,1,0.975,526.4,121.8,421.5,737.8,316.4,0.055,0.17,0.057,0.0305,0.1799,0.102,4,0.431,1425,1255,0.881,0.198,0.0,0.614,1.333,0.0,0.578,1.841,5.332,8.0,86.55,83.74,3.36,-1.59,50.8
I0033,U004,social_collaborative,P106,dorm_lounge_10,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,dorm_lounge,team_project,5_plus,1_2h,morning,weekday,11.8,clear,indoor,often,3,3,2,3,3,4,3,4,3,3,9,9,2,9,9,9,6,16,0.8,4.4,12,1.0,51.5,46.49,6.47,66.12,53.39,4,0.52,762.9,131.6,566.4,1056.7,490.2,0.017,0.295,0.1064,0.0522,0.333,0.2021,8,0.01,1350,1197,0.887,0.196,1.832,1.299,3.188,5.496,6.13,3.898,12.752,16.0,86.99,55.73,8.29,-5.86,45.6
I0034,U004,social_collaborative,P045,cafe_09,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,cafe,online_class,2,1_2h,afternoon,weekend,9.1,hot,indoor,sometimes,2,3,2,2,3,3,3,3,3,3,6,9,2,6,9,9,6,12,2.0,3.4,9,0.5,46.4,50.12,7.95,70.31,58.89,5,0.375,916.1,338.5,386.0,1670.1,1284.1,0.034,0.572,0.114,0.1033,0.4279,0.2797,11,0.01,1297,1170,0.902,0.162,2.487,2.437,4.624,7.462,7.964,7.312,18.496,20.0,89.04,36.27,11.63,-10.32,36.1
I0035,U004,social_collaborative,P020,study_room_02,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,study_room,coding,3_4,over_4h,morning,weekday,3.5,hot,indoor,often,4,4,4,5,3,4,4,5,4,4,12,12,4,15,12,12,6,16,2.7,1.3,15,1.0,69.2,30.0,4.32,40.45,32.64,0,0.94,641.4,171.8,421.2,853.1,431.9,0.027,0.15,0.0385,0.0095,0.1075,0.0612,3,0.63,962,907,0.943,0.056,0.0,0.875,0.578,0.0,0.0,2.625,2.311,6.0,94.23,89.09,2.01,0.58,69.8
I0036,U004,social_collaborative,P052,cafe_16,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,cafe,team_project,3_4,1_2h,early_morning,weekday,13.5,cloudy,indoor,first_time,3,5,3,2,2,3,3,4,4,3,9,15,3,6,9,12,4,12,0.8,5.1,12,0.5,56.8,48.76,5.91,70.25,56.5,2,0.401,516.9,268.1,235.4,1056.4,821.0,0.075,0.111,0.1102,0.0563,0.3346,0.2044,8,0.01,1652,1598,0.967,0.013,2.202,0.903,3.231,6.606,7.166,2.709,12.922,16.0,99.13,59.11,7.5,-4.51,52.3
I0037,U004,social_collaborative,P029,study_room_11,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,study_room,online_class,solo,1_2h,morning,weekday,8.8,rainy,indoor,first_time,4,4,3,4,2,4,4,3,4,3,12,12,3,12,12,12,4,16,2.0,3.3,9,1.0,45.5,30.0,4.13,45.1,34.4,0,0.941,538.2,54.3,456.6,609.7,153.1,0.056,0.162,0.0514,0.0226,0.181,0.0725,1,0.585,1754,1553,0.885,0.195,0.0,0.426,0.786,0.0,0.0,1.278,3.145,2.0,87.89,91.38,1.8,0.16,45.7
